,count,percentage,EOA_count,EOA_percentage
erd1nyr6zdxxc8c92u43y3mmgn3sw0acpw3qye3smjc9wkygnk8ej5ssawxcn8,0,0.0,24,0.14806588932074774
erd1ylm0x2snc5apkrht7ukwtrps4w58qymwy9w46xy8j7n63nf8uzcskx2dju,0,0.0,24,0.14806588932074774
erd1rchd78g9t69gqem4meg9adm6fnnxrkepetdh4ar0497c5snmq56q2cq5nq,1,0.006169412055031155,23,0.14189647726571658
erd1jem76gn40u2e9x2xv3hcn3pfl2xk43n3fsqr5eju2d7dxnakhmmsk7rx3f,16,0.09871059288049848,23,0.14189647726571658
erd1983q4ep29qlqemws8uypvwa5sh07m2zptpd0sg8nnck4trtqas7qqmwtj8,0,0.0,23,0.14189647726571658
erd1am2t6wlec0aryeu7kn0llg3wdfcaxcmuv8wsl93wknw7w8s6espssakdrc,8,0.04935529644024924,23,0.14189647726571658
erd13ar2slvxm5lhwsaz39rfdkvy7gcv0q4hzjrh6lqdc52ue22f7ams8z4dam,2,0.01233882411006231,23,0.14189647726571658
erd1vda0xkuv766tsm5la0f5y6k3spssmuvrqyycj4z0ey7twapq0fcq7dr4k4,0,0.0,23,0.14189647726571658
erd158jvvn3e54zq4ctgu853vheawekvcgpacjstevgfqz9l3p6mzzpsuaqm0n,0,0.0,23,0.14189647726571658
erd1w0a9ze6c9fdcss4tlw2w42s7swmkn33v9txr2580wr78stl89ghsts7d2x,0,0.0,22,0.13572706521068542
erd1ajxxfmzwmdrana7c4x07q2dqezv999da4hlg86gp98kdx8swyqts32wj9w,0,0.0,22,0.13572706521068542
erd1uh2jd7gzljzqht24ry5avcqhyjekhe22703g8avwm4zxc3u8kmnsvj5vl8,0,0.0,22,0.13572706521068542
erd1xm57u2mkdqpgqltuvct2ttwk0cclxwjn5345shp0xt86fdx5r3lsdwmlwr,0,0.0,22,0.13572706521068542
erd1css6ucva7ncjwjzf7rh0hh327xs5dwyzwmqjmwdrc4kp9xlgn9gq7rdztz,1,0.006169412055031155,22,0.13572706521068542
erd109v7c0x9wddclwt4jv3g2y5tqfxgnvy4npd5aqhj7wjfhfkwtwzqr7g7m2,0,0.0,21,0.12955765315565426
