,count,percentage
erd16sxydepyp2m6q8ygzdnlcn886wyspghzup498t8r6tngm52c2x8s0c0433,28,0.17274353754087235
erd10jedtrhy385xwjyddgwd7r8stvzc96sne4am8pl54ya6gmlady8sn5d3fn,28,0.17274353754087235
erd1eq3wvykmp6ckhvxa0zevcem90fqxklzumpckzz7r4q8xyn3cfctqvwdg23,27,0.1665741254858412
erd1602kxwnut0hd308zkm0r05ul9x09e2myzlc0qdtm3uw0y9z628pq3hcqnc,27,0.1665741254858412
erd189e4jtm0vg8rkje42xddn5z9fuhvf0jdref35c69nhcwzx2zkq3srxp98e,26,0.16040471343081003
erd1p3y0nz7q3na0l0hu908g2semm8erzv2qd34vtvsnraph93e2c4gqqgh932,26,0.16040471343081003
erd1me5hmqt5qg9r9jgw9r936444va6f4qw4uf0y2sgk0hsfhmtwvhnscdu9us,26,0.16040471343081003
erd1hrxpjhyl77nt30p335fhj8umfn7l0d2d83u4sapp4svuqkvhqlmsseu678,25,0.1542353013757789
erd10p20080u7gct0ygvf2q9u2ne7y6kznr8fu2ql2rq6v4q884y6s8qdtv5q0,25,0.1542353013757789
erd123sle0lxhqvaztgeh4kjdmqwm3vzt3snd4umzfsuurrcr07lev8q8umlf6,25,0.1542353013757789
erd1nyr6zdxxc8c92u43y3mmgn3sw0acpw3qye3smjc9wkygnk8ej5ssawxcn8,24,0.14806588932074774
erd13de6vjtpusayqd9uyck8pc0syqpc6fxfjt6t2nqh4fdz9xx7y6rsuzlgka,24,0.14806588932074774
erd10ul7fan2s0v0egselrnj9mrd90mnsptzacvr3ujv0fn33ymau0cqt6kul8,24,0.14806588932074774
erd1ylm0x2snc5apkrht7ukwtrps4w58qymwy9w46xy8j7n63nf8uzcskx2dju,24,0.14806588932074774
erd1jem76gn40u2e9x2xv3hcn3pfl2xk43n3fsqr5eju2d7dxnakhmmsk7rx3f,23,0.14189647726571658
erd13ar2slvxm5lhwsaz39rfdkvy7gcv0q4hzjrh6lqdc52ue22f7ams8z4dam,23,0.14189647726571658
erd1rchd78g9t69gqem4meg9adm6fnnxrkepetdh4ar0497c5snmq56q2cq5nq,23,0.14189647726571658
erd1vda0xkuv766tsm5la0f5y6k3spssmuvrqyycj4z0ey7twapq0fcq7dr4k4,23,0.14189647726571658
erd1am2t6wlec0aryeu7kn0llg3wdfcaxcmuv8wsl93wknw7w8s6espssakdrc,23,0.14189647726571658
erd158jvvn3e54zq4ctgu853vheawekvcgpacjstevgfqz9l3p6mzzpsuaqm0n,23,0.14189647726571658
erd1983q4ep29qlqemws8uypvwa5sh07m2zptpd0sg8nnck4trtqas7qqmwtj8,23,0.14189647726571658
erd1ajxxfmzwmdrana7c4x07q2dqezv999da4hlg86gp98kdx8swyqts32wj9w,22,0.13572706521068542
erd1uh2jd7gzljzqht24ry5avcqhyjekhe22703g8avwm4zxc3u8kmnsvj5vl8,22,0.13572706521068542
erd1w0a9ze6c9fdcss4tlw2w42s7swmkn33v9txr2580wr78stl89ghsts7d2x,22,0.13572706521068542
erd1css6ucva7ncjwjzf7rh0hh327xs5dwyzwmqjmwdrc4kp9xlgn9gq7rdztz,22,0.13572706521068542
erd1xm57u2mkdqpgqltuvct2ttwk0cclxwjn5345shp0xt86fdx5r3lsdwmlwr,22,0.13572706521068542
erd19n2mxuvrnysq2298gzuxh8rdh07nnkrm2e8695mxtu47srq24utsjfw4n4,21,0.12955765315565426
erd109v7c0x9wddclwt4jv3g2y5tqfxgnvy4npd5aqhj7wjfhfkwtwzqr7g7m2,21,0.12955765315565426
erd17ynqudfu0l02f8jztnh8kuhql990m8lrrfhs9ptmx755xh289jhsrhy35s,21,0.12955765315565426
erd1e5vwq6j437sm70jtf8dcsasc8wehx5wwdam9uyx8rgh3jw9mr37s4ayk9p,21,0.12955765315565426
erd1d8ekvvadtzw2x09r9a850p02d6973jqmhxsvsnyfyk3usydppc7qr4snyu,21,0.12955765315565426
erd1x9q3ht35v37rx4n399atcr6wgl3p8yrjtqm75re48yck3whlc2usyjhe45,21,0.12955765315565426
erd1cnkdvc45ls86x4qqkuwy4j4zutmr0npf9dnzug5u4e5x5qtzphnqf74p0g,21,0.12955765315565426
erd1kmyl7a2dyl3k5vwzrspdkw6hlfdjt3pd6f44r3lnuv0n2nhvffys5f0cyl,21,0.12955765315565426
erd13m2st5rjualh7p7c79srhhekjq67mm4nsa97mpzd99xmt3quej4qt2um3m,20,0.12338824110062312
erd19dwwqxzcmhug62nvywz8rvl78ycxj2n5ft4l9ehl4wsndk0tzmsqa6tw90,20,0.12338824110062312
erd1h6cve5u67l29c3yh29w55w5m0v6qhhtfvw6khsz2d5k733ec533s2m4q3j,20,0.12338824110062312
erd15u9zk6rcvdjcfwdhxzsrx69d7rkznc9q86zm23lytek4anrwpe4sracg6n,20,0.12338824110062312
erd1c5yc7uhyp3h3schl34lnr77ny55hadp4kxa943zjvtpm3435njzq3344mw,20,0.12338824110062312
erd1vea2lgtphaawgsd236a968zwt7xzkk5t33srw9lz0czgqg2vdhvs6p55ty,19,0.11721882904559196
erd1e2ejl2rxxrkjdqcmvedvujhvumyfqpg8klqpajyf3ujwh9lllcvq2wsy9r,19,0.11721882904559196
erd1t26ujj8hjhh7y8szmm79d8k3q9k0qx3ugggcrns4xqgyvuw343hq8wmkep,19,0.11721882904559196
erd17s0yeflz0sg936jrz34slfypzf5qf5nacpea0kcf6tfk5ngkrxkslmxmld,19,0.11721882904559196
erd1422hvugcxsl79ps9gecnfkfcssazxw7z76eg4tmc8h2kjq9e82xqgcv9z2,18,0.11104941699056081
erd13z85jtjx7el9mjjn9nhcx0pw4jnzmyn0s3uwch4l7t226xxv4vcsq5h22d,18,0.11104941699056081
erd16c02kglch5ujkxxwhelv5qmlm5d7cqkjy5hsnj4n90w0f5y8u28sh9mdwp,18,0.11104941699056081
erd1dvukxslnen4g233f3t69num4fw8fklv5d8thmnumsffxgt2kdf9sh6wuud,18,0.11104941699056081
erd1ht8klelyc253vglsx7eectp22687mtm5h7mplma2vjjasr5wdpqq9m3sug,18,0.11104941699056081
erd1ume4mhe3utn3dfq7gsrp4v4m2frhwcfvdhrenywls3dqnv3m9tdsrmya64,17,0.10488000493552964
erd1f9lct6g5ugthspah5f9hz3qd8n0amzn2hl9swr4fwkuckl3evk3sd0sws0,17,0.10488000493552964
erd1pam2x6vc7m6p5p83nyqyrtd7dqvxf983pnqq2r64wdzu090a82ksx58me9,17,0.10488000493552964
erd1l3d96qwpga447fhcmyhqnzsvzcj68e68x8gleq6lnlj8hc3ef4nqmagh8r,17,0.10488000493552964
erd1h0g85x0a965sj04zqe46hgc54wx6vnv8s0xjwcwstgp43hm65hcq8al64r,17,0.10488000493552964
erd1zm4s8rhgs74cqmy9m0tzn4ms6077pc7w6akfgrt7e80va6ap8yvsup7qn8,17,0.10488000493552964
erd15k8ukytmdjyys2jrd8qkve0mgywj233c7r58h7pj82k73m94cvgsxdah89,17,0.10488000493552964
erd1dauag22s3apmvn355ccv6a2unhjdsajk873n9enc2wemp334mjvs7aw2tz,17,0.10488000493552964
erd1tttqvdl3ardrelattu2v3ekmm06lm3266mnv50kfkd8hck2svl0qcjtqk2,16,0.09871059288049848
erd1udf8fm2ze46sskk3asapcxcqne2qdh7kvpq5ng8344uwd4xw5dqsqtculm,16,0.09871059288049848
erd14u6hkudrcjdlmnuav0p5647rvmuw9agawx9u3q8ep25qp0p0mgqs8xsau4,16,0.09871059288049848
erd1nqpcm39k4rd6scdj86e5ceut0ttv4py7zvpna84d2vzc588a5n6szlaekw,16,0.09871059288049848
erd1l60thjx8lg9x7amqdchhr4mg88kl54lm27fdhnu3dl9hgzhhrhwspzjq0c,16,0.09871059288049848
erd1dhmpqwwphc9c4zzxd3g8vjwk9gmkgw6elg9rxr7y2henlsdx3pgq3zx6w9,16,0.09871059288049848
erd1vlnw0j6wxsndxlx6fvjyl24h67mc2f9ygh3ugn6s40tr7kk59p6sz6awg6,16,0.09871059288049848
