,count,percentage
erd1mq5l9yfuf43mr0d2fdqfq07q4c8eskrkrh5zn3d3ukenm9yhzs0qszkx2t,6,0.037016472330186935
erd1nxs20z6xwtxeqgdk8dal4kypx58u342qfar4schjvx02upvatadscsrfyv,6,0.037016472330186935
erd1gyvq0qf32u9uvynkqaxyzgequ4hrhvcd744nq2zwpgz0aaawxjhq3umqkr,6,0.037016472330186935
erd1h0zetv0jnptzw9w3z8mkc9gjk7wy6ymxggjz8rk2v0mxkz957pusap8cw7,5,0.03084706027515578
erd1gy0x087as37k58g5qvf42xnl98zs4dnde4073vaneeu8y983ldasduqa5q,5,0.03084706027515578
erd1st4gn9qvmjvjlcjayggsywv4320jl2mvnhcvtqr9vhy9ppkyalqs5ug8ju,5,0.03084706027515578
erd1vntlg43zvyhg05plaww7l8gljdd6tqs3ak6ujeqa2tfvwuszskcqvjd28t,5,0.03084706027515578
erd1pvfvk2d0r0j5fcjdkgzzt940ufjuzaza042x7v5d45r7ardny3eqh34wxu,5,0.03084706027515578
erd122g5n5j86r7yj7vwr474ru96khdzw79xzt4atf46atqtzkll0tqsudzzdu,5,0.03084706027515578
erd1xe3yxm355wrksqwevr84p7ryyzv0vgvf6c6fgvz20gfwn9mc49hs92zlvf,5,0.03084706027515578
erd1gjl7qt29j7wy5tkyy86pfsfdn3vq4hxsah6d87cdccew3ydzl9pse46hhr,5,0.03084706027515578
erd1q8ltwlhup73rksuqlndcf4qqp30wryyvrlejg7qyu6kwwwndnkusx3vcj7,5,0.03084706027515578
erd122rk9dpdj3dvhp5cy3zzsar3pt5fn6gpse5h25t48yzx43p3m7kq46qjaf,5,0.03084706027515578
erd1tgke2vuwahh3nlge5sltec3gj6hyqqhg6dngm2thg6jj9japnjtq5ju6ew,5,0.03084706027515578
erd13de6vjtpusayqd9uyck8pc0syqpc6fxfjt6t2nqh4fdz9xx7y6rsuzlgka,5,0.03084706027515578
erd1m0pr20qp6l0wjtuyx9h3w3yceh9tahauvzakdp5z364rpg3vldwsad889l,5,0.03084706027515578
erd1g4pd5u64dkhgxeg595w7eckvj0lv606lnttrn8ewvq5jxwmlprhqhsyqmz,5,0.03084706027515578
erd1e2ejl2rxxrkjdqcmvedvujhvumyfqpg8klqpajyf3ujwh9lllcvq2wsy9r,5,0.03084706027515578
erd1whxprrk7swdt7dpf9elvcaepxnt7wh04wrpqwjex4ng85j78992qj0ju6w,5,0.03084706027515578
erd1m76pncvlmtxsqdq2r30daut929m2wjwnn9rgxlve4syv7e4c6htqxzfwv0,5,0.03084706027515578
erd1u5nzdss39qjyt0e02uvr8s0nrn0g8exs7t8n4v65t23zne0qdmqqa55ypp,5,0.03084706027515578
erd1zj0rtyqggd0p284vxghj27pwyad6rxule9umxfp04cc232lq60xq53p5s8,5,0.03084706027515578
